ID,State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
5628,Andhra Pradesh,PRAKASAM,2000,Kharif     ,Rice,50601.0,156559.0
5649,Andhra Pradesh,PRAKASAM,2000,Rabi       ,Rice,96893.0,316840.0
5676,Andhra Pradesh,PRAKASAM,2001,Kharif     ,Rice,40841.0,134204.0
5695,Andhra Pradesh,PRAKASAM,2001,Rabi       ,Rice,106540.0,385888.0
5723,Andhra Pradesh,PRAKASAM,2002,Kharif     ,Rice,19256.0,46927.0
5742,Andhra Pradesh,PRAKASAM,2002,Rabi       ,Rice,46223.0,104325.0
5783,Andhra Pradesh,PRAKASAM,2003,Kharif     ,Rice,14621.0,41992.0
5803,Andhra Pradesh,PRAKASAM,2003,Rabi       ,Rice,31497.0,79278.0
5842,Andhra Pradesh,PRAKASAM,2004,Kharif     ,Rice,27435.0,95446.0
5860,Andhra Pradesh,PRAKASAM,2004,Rabi       ,Rice,66134.0,220491.0
5885,Andhra Pradesh,PRAKASAM,2005,Kharif     ,Rice,54390.0,144351.0
5900,Andhra Pradesh,PRAKASAM,2005,Rabi       ,Rice,95020.0,340932.0
5926,Andhra Pradesh,PRAKASAM,2006,Kharif     ,Rice,41191.0,124809.0
5944,Andhra Pradesh,PRAKASAM,2006,Rabi       ,Rice,79875.0,297215.0
5967,Andhra Pradesh,PRAKASAM,2007,Kharif     ,Rice,47000.0,173000.0
5979,Andhra Pradesh,PRAKASAM,2007,Rabi       ,Rice,80000.0,287000.0
5995,Andhra Pradesh,PRAKASAM,2008,Kharif     ,Rice,47434.0,167774.0
6011,Andhra Pradesh,PRAKASAM,2008,Rabi       ,Rice,83957.0,314503.0
6035,Andhra Pradesh,PRAKASAM,2009,Kharif     ,Rice,32959.0,117730.0
6051,Andhra Pradesh,PRAKASAM,2009,Rabi       ,Rice,96240.0,371390.0
6074,Andhra Pradesh,PRAKASAM,2010,Kharif     ,Rice,48878.0,143300.0
6090,Andhra Pradesh,PRAKASAM,2010,Rabi       ,Rice,107903.0,376150.0
6114,Andhra Pradesh,PRAKASAM,2011,Kharif     ,Rice,39122.0,134932.0
